Date;Open;High;Low;Close ;Adj Close ;Volume
6/10/2023;53.8;54.1;53.3;53.9;51.7;1,837,300.0
5/10/2023;53.8;54.2;53.8;54.1;51.9;1,133,100.0
4/10/2023;53.9;53.9;53.3;53.8;51.6;1,843,900.0
3/10/2023;53.3;53.6;53.0;53.6;51.4;2,871,500.0
2/10/2023;54.1;54.1;53.2;53.6;51.4;1,849,100.0
29/9/2023;54.0;54.0;53.4;53.6;51.5;3,954,000.0
28/9/2023;53.1;53.3;52.7;53.0;50.9;1,858,300.0
27/9/2023;53.9;54.0;52.6;53.0;50.8;2,160,100.0
26/9/2023;54.2;54.5;54.1;54.2;52.0;746,200.0
25/9/2023;54.2;54.4;54.0;54.4;52.1;647,600.0
22/9/2023;54.1;54.4;54.0;54.0;51.8;948,400.0
21/9/2023;54.8;55.0;54.3;54.3;52.1;1,479,200.0
20/9/2023;55.4;55.7;55.1;55.2;53.0;2,498,200.0
19/9/2023;54.2;54.9;54.1;54.9;52.6;1,324,600.0
18/9/2023;54.5;54.5;53.9;54.1;51.9;1,136,400.0
15/9/2023;55.0;55.1;54.5;54.5;52.3;1,518,200.0
14/9/2023;54.4;54.8;54.3;54.6;52.3;1,017,700.0
13/9/2023;54.3;54.6;54.2;54.3;52.1;1,275,600.0
12/9/2023;54.8;54.9;54.3;54.7;52.5;1,708,400.0
11/9/2023;54.4;54.8;54.3;54.5;52.3;1,076,500.0
8/9/2023;53.6;53.9;53.4;53.6;51.4;714,600.0
7/9/2023;53.1;53.4;53.0;53.0;50.9;769,100.0
6/9/2023;52.7;52.8;52.5;52.7;50.5;1,043,300.0
5/9/2023;53.4;53.5;52.9;52.9;50.8;1,587,800.0
1/9/2023;53.9;53.9;53.0;53.1;51.0;640,200.0
31/8/2023;54.1;54.1;53.2;53.2;51.0;887,200.0
30/8/2023;54.3;54.4;54.1;54.1;51.9;521,300.0
29/8/2023;54.0;54.3;53.9;54.2;52.0;830,200.0
28/8/2023;53.7;53.9;53.6;53.8;51.6;475,000.0
25/8/2023;53.3;53.5;53.0;53.4;51.3;493,800.0
24/8/2023;53.1;53.4;52.9;53.0;50.8;1,534,300.0
23/8/2023;53.6;53.9;53.4;53.5;51.3;1,838,500.0
22/8/2023;54.1;54.2;53.9;54.0;51.8;1,916,600.0
21/8/2023;53.6;53.8;53.5;53.7;51.5;1,644,700.0
18/8/2023;53.1;53.4;53.1;53.3;51.1;791,400.0
17/8/2023;53.4;53.5;52.9;52.9;50.8;983,600.0
16/8/2023;52.4;52.7;52.4;52.4;50.3;751,600.0
15/8/2023;53.2;53.2;52.7;52.8;50.7;1,064,500.0
14/8/2023;53.0;53.3;52.9;53.3;51.1;1,181,600.0
11/8/2023;53.0;53.5;52.9;53.5;51.4;1,658,100.0
10/8/2023;53.4;54.0;53.4;53.7;51.5;1,222,900.0
9/8/2023;52.5;53.4;52.5;53.2;51.1;1,504,900.0
8/8/2023;52.2;52.7;52.1;52.7;50.5;1,628,200.0
7/8/2023;51.6;52.1;51.5;52.0;49.9;1,615,100.0
4/8/2023;51.4;51.9;51.4;51.7;49.6;1,417,200.0
3/8/2023;50.2;51.0;50.0;51.0;48.9;1,917,700.0
2/8/2023;52.1;52.3;51.5;51.5;49.4;1,256,300.0
1/8/2023;53.6;53.6;52.8;53.1;50.9;987,000.0
31/7/2023;53.7;53.8;53.2;53.4;51.2;1,335,000.0
28/7/2023;51.9;52.6;51.7;52.5;50.4;3,204,600.0
27/7/2023;53.6;53.9;53.5;53.5;51.4;1,392,100.0
26/7/2023;53.1;53.6;52.8;53.5;51.3;1,589,000.0
25/7/2023;53.7;54.0;53.7;53.8;51.6;1,208,400.0
24/7/2023;54.3;54.5;53.9;53.9;51.7;1,039,300.0
21/7/2023;54.9;55.0;54.6;55.0;52.7;1,557,200.0
20/7/2023;54.6;55.0;54.6;54.7;52.5;1,103,100.0
19/7/2023;53.8;54.1;53.6;53.8;51.6;784,600.0
18/7/2023;53.5;54.1;53.4;53.7;51.6;1,120,100.0
17/7/2023;52.9;53.0;52.7;52.9;50.7;1,214,800.0
14/7/2023;52.8;52.8;52.5;52.7;50.5;659,400.0
13/7/2023;52.6;52.6;51.9;52.1;50.0;867,700.0
12/7/2023;51.5;52.1;51.4;51.8;49.7;946,900.0
11/7/2023;51.8;52.0;51.6;51.7;49.6;853,900.0
10/7/2023;52.0;52.1;51.7;51.8;49.7;953,000.0
7/7/2023;51.8;51.9;51.3;51.3;49.2;1,043,800.0
6/7/2023;52.1;52.1;51.5;51.9;49.8;1,286,000.0
5/7/2023;53.3;53.3;53.0;53.0;50.8;940,000.0
3/7/2023;54.2;54.2;53.5;53.6;51.5;979,500.0
30/6/2023;53.4;53.9;53.4;53.9;51.7;1,835,200.0
29/6/2023;53.0;53.3;52.9;53.0;50.8;1,107,600.0
28/6/2023;54.0;54.1;53.7;53.7;51.6;1,397,000.0
27/6/2023;53.5;53.7;53.4;53.7;51.5;1,031,500.0
26/6/2023;53.7;53.7;53.0;53.5;51.3;934,400.0
23/6/2023;53.6;53.8;53.2;53.3;51.1;2,293,900.0
22/6/2023;53.6;53.7;53.3;53.3;51.1;1,260,900.0
21/6/2023;53.4;53.7;53.2;53.6;51.5;1,422,000.0
20/6/2023;53.5;53.5;53.1;53.1;50.9;1,709,700.0
16/6/2023;52.5;52.7;52.0;52.0;49.9;1,142,200.0
15/6/2023;51.4;51.8;51.1;51.8;49.7;1,650,800.0
14/6/2023;51.0;51.1;50.5;50.7;48.7;868,400.0
13/6/2023;50.7;50.9;50.4;50.5;48.5;873,400.0
12/6/2023;51.2;51.3;50.9;51.0;48.9;641,900.0
9/6/2023;51.2;51.3;51.1;51.2;49.2;574,900.0
8/6/2023;51.1;51.6;51.0;51.5;49.4;731,800.0
7/6/2023;51.4;51.4;50.8;50.9;48.8;724,500.0
6/6/2023;51.5;51.6;51.3;51.5;49.4;1,446,600.0
5/6/2023;51.0;51.1;50.8;50.8;48.8;806,300.0
2/6/2023;50.7;51.0;50.7;51.0;48.9;666,900.0
1/6/2023;50.3;50.7;50.2;50.5;48.4;1,252,600.0
31/5/2023;50.7;51.1;50.4;51.0;49.0;1,160,400.0
30/5/2023;51.0;51.0;50.4;50.5;48.4;1,199,400.0
26/5/2023;52.9;53.2;52.5;52.5;48.6;1,268,700.0
25/5/2023;53.3;53.3;52.2;52.6;48.6;1,493,800.0
24/5/2023;54.4;54.5;54.0;54.0;49.9;1,189,500.0
23/5/2023;54.4;54.7;54.2;54.4;50.3;1,193,900.0
22/5/2023;54.3;54.6;53.8;54.0;49.9;926,300.0
19/5/2023;54.6;55.2;54.6;55.0;50.9;1,613,100.0
18/5/2023;53.9;53.9;53.4;53.9;49.8;1,573,600.0
17/5/2023;53.9;53.9;53.3;53.7;49.6;1,475,500.0
16/5/2023;54.2;54.7;54.1;54.6;50.4;1,377,500.0
15/5/2023;54.3;54.5;53.9;54.5;50.4;1,763,200.0
12/5/2023;54.1;54.7;53.7;54.1;50.1;4,378,400.0
11/5/2023;54.0;54.4;53.9;54.4;50.3;1,887,000.0
10/5/2023;54.1;54.6;53.9;54.6;50.5;1,819,200.0
9/5/2023;55.1;55.3;55.0;55.1;51.0;696,700.0
8/5/2023;55.4;55.4;54.9;54.9;50.8;726,000.0
5/5/2023;55.3;55.9;54.9;55.8;51.6;983,400.0
4/5/2023;54.6;54.8;54.4;54.7;50.6;941,700.0
3/5/2023;53.8;54.5;53.7;54.2;50.1;1,894,900.0
2/5/2023;53.4;53.7;53.0;53.4;49.3;1,840,700.0
1/5/2023;53.9;54.0;53.4;53.4;49.4;1,324,400.0
28/4/2023;54.8;55.3;53.5;53.7;49.6;2,699,900.0
27/4/2023;55.8;56.3;55.6;56.1;51.9;1,791,300.0
26/4/2023;57.8;57.8;56.2;56.2;52.0;2,555,000.0
25/4/2023;57.5;57.6;57.0;57.2;52.9;1,333,300.0
24/4/2023;56.3;56.7;56.2;56.6;52.3;1,043,900.0
21/4/2023;56.4;56.8;56.2;56.7;52.4;1,621,400.0
20/4/2023;55.7;55.8;55.4;55.5;51.3;815,900.0
19/4/2023;55.7;55.9;55.4;55.7;51.5;2,590,900.0
18/4/2023;55.9;56.0;55.1;55.2;51.0;2,404,100.0
17/4/2023;56.2;56.2;55.8;55.9;51.7;1,150,300.0
14/4/2023;56.6;56.6;55.9;56.2;51.9;1,731,500.0
13/4/2023;56.1;56.3;56.0;56.1;51.9;1,362,300.0
12/4/2023;56.0;56.3;55.6;55.8;51.6;2,146,900.0
11/4/2023;55.7;55.7;55.1;55.2;51.1;2,034,900.0
10/4/2023;55.4;55.5;54.6;55.0;50.8;1,732,400.0
6/4/2023;55.8;56.1;55.7;55.9;51.7;2,686,200.0
5/4/2023;55.2;55.5;54.8;54.8;50.7;3,026,800.0
4/4/2023;54.2;54.7;54.1;54.2;50.1;3,207,600.0
3/4/2023;54.4;54.6;54.1;54.2;50.1;1,874,100.0
31/3/2023;54.4;54.5;54.2;54.4;50.3;2,034,600.0
30/3/2023;54.6;54.7;53.9;54.0;49.9;1,912,100.0
29/3/2023;54.7;54.8;54.4;54.5;50.3;1,870,000.0
28/3/2023;54.1;54.3;53.9;54.2;50.1;1,514,000.0
27/3/2023;53.0;53.3;52.7;53.2;49.2;1,755,600.0
24/3/2023;52.0;52.7;51.6;52.6;48.6;2,748,900.0
23/3/2023;52.0;52.3;51.4;51.7;47.8;6,019,000.0
22/3/2023;48.9;49.4;48.8;48.8;45.1;955,400.0
21/3/2023;48.9;48.9;48.4;48.6;44.9;1,116,500.0
20/3/2023;48.0;48.3;47.6;48.0;44.4;2,232,000.0
17/3/2023;47.8;47.9;47.5;47.7;44.1;1,335,200.0
16/3/2023;47.7;48.2;47.4;48.1;44.5;1,287,600.0
15/3/2023;47.0;47.7;47.0;47.6;44.0;994,400.0
14/3/2023;47.6;47.9;47.3;47.9;44.3;2,219,800.0
13/3/2023;47.2;47.8;47.0;47.0;43.5;1,536,700.0
10/3/2023;47.6;48.0;47.2;47.3;43.7;1,281,800.0
9/3/2023;47.7;47.8;47.0;47.1;43.5;1,152,100.0
8/3/2023;47.6;47.7;47.1;47.2;43.7;1,138,600.0
7/3/2023;48.0;48.1;47.3;47.6;44.0;1,195,200.0
6/3/2023;47.6;48.0;47.5;47.7;44.1;734,200.0
3/3/2023;47.5;47.8;47.3;47.8;44.2;2,033,400.0
2/3/2023;46.9;47.6;46.8;47.6;44.0;1,163,600.0
1/3/2023;47.3;47.3;47.0;47.0;43.5;1,252,700.0
